Order No.,Date,Payment Type,Order Type,Area Type,My Amount,Discount,Delivery Charge,Container Charge,Service Charge,Additional Charge,CGST (A),SGST (A),Waived off,Total,Assign to,Biller Name,Reason,Tip,Total + Tip
32960,08-03-25,Cash,Dine In (21),-,1197.00,119.70,0.00,0.00,0.00,-,26.93,26.93,0.00,1131.00,-,biller,,0.00,1131.00
32961,09-03-25,Cash,TAKE AWAY,Parcel,389.00,0.00,0.00,0.00,0.00,-,9.73,9.73,0.00,408.00,-,biller,,0.00,408.00
32962,09-03-25,Cash,TAKE AWAY,Parcel,449.00,0.00,0.00,0.00,0.00,-,11.23,11.23,0.00,471.00,-,biller,,0.00,471.00
32963,09-03-25,Cash,Dine In (21),-,479.00,47.90,0.00,0.00,0.00,-,10.78,10.78,0.00,453.00,-,biller,,0.00,453.00
32964,09-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.25,0.00,0.00,0.00,-,5.57,5.57,0.00,234.00,-,biller,,0.00,234.00
32965,09-03-25,Cash,Dine In (23),-,548.00,0.00,0.00,0.00,0.00,-,13.70,13.70,0.00,575.00,-,biller,,0.00,575.00
32966,09-03-25,Cash,Dine In (2),-,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32967,09-03-25,Cash,Dine In (24),-,669.00,0.00,0.00,0.00,0.00,-,16.73,16.73,0.00,702.00,-,biller,,0.00,702.00
32968,09-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.25,0.00,0.00,0.00,-,5.57,5.57,0.00,234.00,-,biller,,0.00,234.00
32969,09-03-25,Cash,Dine In (23),-,579.00,0.00,0.00,0.00,0.00,-,14.48,14.48,0.00,608.00,-,biller,,0.00,608.00
32970,09-03-25,Cash,Dine In (22),-,2388.00,0.00,0.00,0.00,0.00,-,59.70,59.70,0.00,2507.00,-,biller,,0.00,2507.00
32971,09-03-25,Cash,TAKE AWAY,Parcel,140.00,0.00,0.00,0.00,0.00,-,3.50,3.50,0.00,147.00,-,biller,,0.00,147.00
32972,09-03-25,Online [Swiggy],Delivery,Swiggy,399.00,75.00,0.00,0.00,0.00,-,8.10,8.10,0.00,340.00,-,biller,,0.00,340.00
32973,09-03-25,Online [Swiggy],Delivery,Swiggy,1320.00,149.99,0.00,0.00,0.00,-,29.25,29.25,0.00,1229.00,-,biller,,0.00,1229.00
32974,09-03-25,Online [Swiggy],Delivery,Swiggy,1507.00,289.99,0.00,0.00,0.00,-,30.43,30.43,0.00,1278.00,-,biller,,0.00,1278.00
32975,09-03-25,Cash,Dine In (25),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32976,09-03-25,Cash,Dine In (21),-,757.00,0.00,0.00,0.00,0.00,-,18.93,18.93,0.00,795.00,-,biller,,0.00,795.00
32977,09-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
32978,09-03-25,Cash,Dine In (25),-,518.00,0.00,0.00,0.00,0.00,-,12.95,12.95,0.00,544.00,-,biller,,0.00,544.00
32979,10-03-25,Cash,TAKE AWAY,Parcel,2694.00,269.40,0.00,0.00,0.00,-,60.62,60.62,0.00,2546.00,-,biller,,0.00,2546.00
32980,10-03-25,Cash,Dine In (21),-,479.00,0.00,0.00,0.00,0.00,-,11.98,11.98,0.00,503.00,-,biller,,0.00,503.00
32981,10-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
32982,10-03-25,Cash,Dine In (25),-,595.00,0.00,0.00,0.00,0.00,-,14.88,14.88,0.00,625.00,-,biller,,0.00,625.00
32983,10-03-25,Cash,TAKE AWAY,Parcel,536.00,53.60,0.00,0.00,0.00,-,12.06,12.06,0.00,507.00,-,biller,,0.00,507.00
32984,10-03-25,Cash,Dine In (23),-,599.00,0.00,0.00,0.00,0.00,-,14.98,14.98,0.00,629.00,-,biller,,0.00,629.00
32985,10-03-25,Cash,Dine In (24),-,818.00,0.00,0.00,0.00,0.00,-,20.45,20.45,0.00,859.00,-,biller,,0.00,859.00
32986,10-03-25,Cash,TAKE AWAY,Parcel,1017.00,101.70,0.00,0.00,0.00,-,22.88,22.88,0.00,961.00,-,biller,,0.00,961.00
32987,10-03-25,Cash,TAKE AWAY,Parcel,299.00,0.00,0.00,0.00,0.00,-,7.48,7.48,0.00,314.00,-,biller,,0.00,314.00
32988,10-03-25,Online [Swiggy],Delivery,Swiggy,399.00,56.25,0.00,0.00,0.00,-,8.57,8.57,0.00,360.00,-,biller,,0.00,360.00
32989,10-03-25,Cash,Dine In (20),-,618.00,0.00,0.00,0.00,0.00,-,15.45,15.45,0.00,649.00,-,biller,,0.00,649.00
32990,10-03-25,Online [Swiggy],Delivery,Swiggy,449.00,56.25,0.00,0.00,0.00,-,9.82,9.82,0.00,412.00,-,biller,,0.00,412.00
32991,10-03-25,Cash,Dine In (24),-,2250.00,0.00,0.00,0.00,0.00,-,56.25,56.25,0.00,2363.00,-,biller,,0.00,2363.00
32992,11-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,-146.00,-,biller,14,0.00,146.00
32993,11-03-25,Cash,TAKE AWAY,Parcel,2573.00,257.30,0.00,0.00,0.00,-,57.89,57.89,0.00,2431.00,-,biller,,0.00,2431.00
32994,11-03-25,Cash,TAKE AWAY,Parcel,595.00,59.50,0.00,0.00,0.00,-,13.39,13.39,0.00,562.00,-,biller,,0.00,562.00
32995,11-03-25,Cash,Dine In (22),-,409.00,0.00,0.00,0.00,0.00,-,10.23,10.23,0.00,429.00,-,biller,,0.00,429.00
32996,11-03-25,Cash,Dine In (20),-,1267.00,0.00,0.00,0.00,0.00,-,31.68,31.68,0.00,1330.00,-,biller,,0.00,1330.00
32997,11-03-25,Cash,Dine In (23),-,479.00,0.00,0.00,0.00,0.00,-,11.98,11.98,0.00,503.00,-,biller,,0.00,503.00
32998,11-03-25,Online [Swiggy],Delivery,Swiggy,309.00,146.75,0.00,0.00,0.00,-,4.06,4.06,0.00,170.00,-,biller,,0.00,170.00
32999,11-03-25,Cash,Dine In (25),-,489.00,0.00,0.00,0.00,0.00,-,12.23,12.23,0.00,513.00,-,biller,,0.00,513.00
33000,11-03-25,Cash,Dine In (24),-,957.00,0.00,0.00,0.00,0.00,-,23.93,23.93,0.00,1005.00,-,biller,,0.00,1005.00
33001,11-03-25,Cash,Dine In (21),-,1067.00,0.00,0.00,0.00,0.00,-,26.68,26.68,0.00,1120.00,-,biller,,0.00,1120.00
33002,11-03-25,Cash,Dine In (24),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33003,11-03-25,Online [Swiggy],Delivery,Swiggy,449.00,56.25,0.00,0.00,0.00,-,9.82,9.82,0.00,412.00,-,biller,,0.00,412.00
33004,11-03-25,Cash,Dine In (2),-,269.00,0.00,0.00,0.00,0.00,-,6.73,6.73,0.00,282.00,-,biller,,0.00,282.00
33005,11-03-25,Cash,Dine In (21),-,329.00,0.00,0.00,0.00,0.00,-,8.23,8.23,0.00,345.00,-,biller,,0.00,345.00
33006,11-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.25,0.00,0.00,0.00,-,5.57,5.57,0.00,234.00,-,biller,,0.00,234.00
33007,11-03-25,Cash,Dine In (2),-,768.00,0.00,0.00,0.00,0.00,-,19.20,19.20,0.00,806.00,-,biller,,0.00,806.00
33008,11-03-25,Cash,Dine In (20),-,1537.00,0.00,0.00,0.00,0.00,-,38.42,38.42,0.00,1614.00,-,biller,,0.00,1614.00
33009,11-03-25,Online [Swiggy],Delivery,Swiggy,519.00,56.25,0.00,0.00,0.00,-,11.57,11.57,0.00,486.00,-,biller,,0.00,486.00
33010,11-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33011,11-03-25,Online [Swiggy],Delivery,Swiggy,1116.00,615.60,0.00,0.00,0.00,-,12.51,12.51,0.00,525.00,-,biller,,0.00,525.00
33012,11-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33013,11-03-25,Cash,Dine In (8),-,199.00,49.75,0.00,0.00,0.00,-,3.73,3.73,0.00,157.00,-,biller,,0.00,157.00
33014,11-03-25,Cash,Dine In (2),-,977.00,0.00,0.00,0.00,0.00,-,24.43,24.43,0.00,1026.00,-,biller,,0.00,1026.00
33015,11-03-25,Cash,Dine In (9),-,398.00,59.70,0.00,0.00,0.00,-,8.46,8.46,0.00,355.00,-,biller,,0.00,355.00
33016,12-03-25,Online [Swiggy],Delivery,Swiggy,319.00,56.25,0.00,0.00,0.00,-,6.57,6.57,0.00,276.00,-,biller,,0.00,276.00
33017,12-03-25,Cash,TAKE AWAY,Parcel,2556.00,255.60,0.00,0.00,0.00,-,57.51,57.51,0.00,2415.00,-,biller,,0.00,2415.00
33018,12-03-25,Cash,Dine In (9),-,628.00,0.00,0.00,0.00,0.00,-,15.70,15.70,0.00,659.00,-,biller,,0.00,659.00
33019,12-03-25,Cash,Dine In (1),-,279.00,0.00,0.00,0.00,0.00,-,6.98,6.98,0.00,293.00,-,biller,,0.00,293.00
33020,12-03-25,Cash,Dine In (2),-,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33021,12-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33022,12-03-25,Cash,Dine In (3),-,537.00,0.00,0.00,0.00,0.00,-,13.43,13.43,0.00,564.00,-,biller,,0.00,564.00
33023,12-03-25,Cash,Dine In (1),-,468.00,0.00,0.00,0.00,0.00,-,11.70,11.70,0.00,491.00,-,biller,,0.00,491.00
33024,12-03-25,Cash,Dine In (8),-,928.00,0.00,0.00,0.00,0.00,-,23.20,23.20,0.00,974.00,-,biller,,0.00,974.00
33025,12-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33026,12-03-25,Cash,Dine In (10),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33027,12-03-25,Cash,Dine In (20),-,2060.00,206.00,0.00,0.00,0.00,-,46.35,46.35,0.00,1947.00,-,biller,,0.00,1947.00
33028,12-03-25,Cash,Dine In (24),-,1324.00,0.00,0.00,0.00,0.00,-,33.10,33.10,0.00,1390.00,-,biller,,0.00,1390.00
33029,12-03-25,Cash,Dine In (20),-,868.00,0.00,0.00,0.00,0.00,-,21.70,21.70,0.00,911.00,-,biller,,0.00,911.00
33030,12-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33031,12-03-25,Online [Swiggy],Delivery,Swiggy,1078.00,237.78,0.00,0.00,0.00,-,21.01,21.01,0.00,882.00,-,biller,,0.00,882.00
33032,12-03-25,Cash,TAKE AWAY,Parcel,549.00,0.00,0.00,0.00,0.00,-,13.73,13.73,0.00,576.00,-,biller,,0.00,576.00
33033,12-03-25,Online [Swiggy],Delivery,Swiggy,829.00,196.65,0.00,0.00,0.00,-,15.81,15.81,0.00,664.00,-,biller,,0.00,664.00
33034,12-03-25,Cash,Dine In (20),-,364.00,0.00,0.00,0.00,0.00,-,9.10,9.10,0.00,382.00,-,biller,,0.00,382.00
33035,12-03-25,Online [Swiggy],Delivery,Swiggy,335.00,56.25,0.00,0.00,0.00,-,6.97,6.97,0.00,293.00,-,biller,,0.00,293.00
33036,12-03-25,Cash,Dine In (9),-,329.00,0.00,0.00,0.00,0.00,-,8.23,8.23,0.00,345.00,-,biller,,0.00,345.00
33037,12-03-25,Cash,Dine In (20),-,1882.00,0.00,0.00,0.00,0.00,-,47.05,47.05,0.00,1976.00,-,biller,,0.00,1976.00
33038,13-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33039,13-03-25,Cash,Dine In (24),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
33040,13-03-25,Cash,Dine In (20),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33041,13-03-25,Cash,Dine In (24),-,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33042,13-03-25,Cash,Dine In (23),-,797.00,0.00,0.00,0.00,0.00,-,19.93,19.93,0.00,837.00,-,biller,,0.00,837.00
33043,13-03-25,Cash,Dine In (24),-,668.00,0.00,0.00,0.00,0.00,-,16.70,16.70,0.00,701.00,-,biller,,0.00,701.00
33044,13-03-25,Cash,Dine In (9),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
33045,13-03-25,Cash,Dine In (20),-,956.00,0.00,0.00,0.00,0.00,-,23.90,23.90,0.00,1004.00,-,biller,,0.00,1004.00
33046,13-03-25,Cash,Dine In (2),-,627.00,0.00,0.00,0.00,0.00,-,15.68,15.68,0.00,658.00,-,biller,,0.00,658.00
33047,13-03-25,Cash,TAKE AWAY,Parcel,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
33048,13-03-25,Cash,Dine In (24),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
33049,13-03-25,Cash,Dine In (3),-,618.00,0.00,0.00,0.00,0.00,-,15.45,15.45,0.00,649.00,-,biller,,0.00,649.00
33050,13-03-25,Cash,Dine In (20),-,1442.00,0.00,0.00,0.00,0.00,-,36.05,36.05,0.00,1514.00,-,biller,,0.00,1514.00
33051,13-03-25,Cash,Dine In (24),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
33052,13-03-25,Cash,Dine In (20),-,379.00,0.00,0.00,0.00,0.00,-,9.48,9.48,0.00,398.00,-,biller,,0.00,398.00
33053,13-03-25,Cash,Dine In (25),-,618.00,0.00,0.00,0.00,0.00,-,15.45,15.45,0.00,649.00,-,biller,,0.00,649.00
33054,13-03-25,Cash,Dine In (19),-,309.00,0.00,0.00,0.00,0.00,-,7.73,7.73,0.00,324.00,-,biller,,0.00,324.00
33055,13-03-25,Cash,Dine In (23),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33056,14-03-25,Cash,TAKE AWAY,Parcel,958.00,0.00,0.00,0.00,0.00,-,23.95,23.95,0.00,-1006.00,-,biller,itam canceld,0.00,1006.00
33057,14-03-25,Cash,TAKE AWAY,Parcel,639.00,0.00,0.00,0.00,0.00,-,15.98,15.98,0.00,671.00,-,biller,,0.00,671.00
33058,14-03-25,Cash,Dine In (24),-,698.00,0.00,0.00,0.00,0.00,-,17.45,17.45,0.00,733.00,-,biller,,0.00,733.00
33059,14-03-25,Online [Swiggy],Delivery,Swiggy,738.00,187.53,0.00,0.00,0.00,-,13.76,13.76,0.00,578.00,-,biller,,0.00,578.00
33060,14-03-25,Cash,Dine In (20),-,1485.00,148.50,0.00,0.00,0.00,-,33.41,33.41,0.00,1403.00,-,biller,,0.00,1403.00
33061,14-03-25,Cash,Dine In (23),-,915.00,0.00,0.00,0.00,0.00,-,22.88,22.88,0.00,961.00,-,biller,,0.00,961.00
33062,14-03-25,Cash,Dine In (22),-,1111.00,0.00,0.00,0.00,0.00,-,27.78,27.78,0.00,1167.00,-,biller,,0.00,1167.00
33063,14-03-25,Cash,Dine In (25),-,1019.00,101.90,0.00,0.00,0.00,-,22.93,22.93,0.00,963.00,-,biller,,0.00,963.00
33064,14-03-25,Cash,Dine In (6),-,1028.00,0.00,0.00,0.00,0.00,-,25.70,25.70,0.00,1079.00,-,biller,,0.00,1079.00
33065,15-03-25,Cash,Dine In (22),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33066,15-03-25,Cash,Dine In (23),-,728.00,0.00,0.00,0.00,0.00,-,18.20,18.20,0.00,764.00,-,biller,,0.00,764.00
33067,15-03-25,Cash,Dine In (25),-,1157.00,0.00,0.00,0.00,0.00,-,28.93,28.93,0.00,1215.00,-,biller,,0.00,1215.00
33068,15-03-25,Cash,Dine In (24),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
33069,15-03-25,Cash,TAKE AWAY,Parcel,549.00,0.00,0.00,0.00,0.00,-,13.73,13.73,0.00,576.00,-,biller,,0.00,576.00
33070,15-03-25,Cash,Dine In (20),-,1177.00,0.00,0.00,0.00,0.00,-,29.43,29.43,0.00,1236.00,-,biller,,0.00,1236.00
33071,15-03-25,Cash,TAKE AWAY,Parcel,667.00,66.70,0.00,0.00,0.00,-,15.01,15.01,0.00,630.00,-,biller,,0.00,630.00
33072,15-03-25,Cash,Dine In (23),-,857.00,0.00,0.00,0.00,0.00,-,21.43,21.43,0.00,900.00,-,biller,,0.00,900.00
33073,15-03-25,Cash,Dine In (25),-,768.00,0.00,0.00,0.00,0.00,-,19.20,19.20,0.00,806.00,-,biller,,0.00,806.00
33074,15-03-25,Cash,Dine In (19),-,957.00,0.00,0.00,0.00,0.00,-,23.93,23.93,0.00,1005.00,-,biller,,0.00,1005.00
33075,15-03-25,Cash,Dine In (24),-,488.00,0.00,0.00,0.00,0.00,-,12.20,12.20,0.00,512.00,-,biller,,0.00,512.00
33076,15-03-25,Cash,Dine In (20),-,588.00,0.00,0.00,0.00,0.00,-,14.70,14.70,0.00,617.00,-,biller,,0.00,617.00
33077,15-03-25,Cash,Dine In (1),-,1972.00,0.00,0.00,0.00,0.00,-,49.30,49.30,0.00,2071.00,-,biller,,0.00,2071.00
33078,15-03-25,Online [Swiggy],Delivery,Swiggy,678.00,245.00,0.00,0.00,0.00,-,10.83,10.83,0.00,455.00,-,biller,,0.00,455.00
33079,15-03-25,Cash,Dine In (6),-,379.00,0.00,0.00,0.00,0.00,-,9.48,9.48,0.00,398.00,-,biller,,0.00,398.00
33080,15-03-25,Cash,Dine In (20),-,698.00,69.80,0.00,0.00,0.00,-,15.71,15.71,0.00,660.00,-,biller,,0.00,660.00
33081,15-03-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33082,15-03-25,Cash,TAKE AWAY,Parcel,329.00,0.00,0.00,0.00,0.00,-,8.23,8.23,0.00,345.00,-,biller,,0.00,345.00
33083,15-03-25,Cash,Dine In (2),-,825.00,0.00,0.00,0.00,0.00,-,20.63,20.63,0.00,866.00,-,biller,,0.00,866.00
33084,15-03-25,Cash,Dine In (9),-,806.00,0.00,0.00,0.00,0.00,-,20.15,20.15,0.00,846.00,-,biller,,0.00,846.00
33085,16-03-25,Online [Swiggy],Delivery,Swiggy,678.00,122.49,0.00,0.00,0.00,-,13.89,13.89,0.00,583.00,-,biller,,0.00,583.00
33086,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33087,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.00,0.00,0.00,0.00,-,5.58,5.58,0.00,234.00,-,biller,,0.00,234.00
33088,16-03-25,Cash,Dine In (9),-,906.00,0.00,0.00,0.00,0.00,-,22.65,22.65,0.00,951.00,-,biller,,0.00,951.00
33089,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33090,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33091,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33092,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,0.00,0.00,0.00,0.00,-,6.98,6.98,0.00,293.00,-,biller,,0.00,293.00
33093,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.00,0.00,0.00,0.00,-,5.58,5.58,0.00,234.00,-,biller,,0.00,234.00
33094,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.00,0.00,0.00,0.00,-,5.58,5.58,0.00,234.00,-,biller,,0.00,234.00
33095,16-03-25,Cash,TAKE AWAY,Parcel,259.00,0.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
33096,16-03-25,Cash,Dine In (9),-,1137.00,0.00,0.00,0.00,0.00,-,28.43,28.43,0.00,1194.00,-,biller,,0.00,1194.00
33097,16-03-25,Cash,Dine In (9),-,968.00,0.00,0.00,0.00,0.00,-,24.20,24.20,0.00,1016.00,-,biller,,0.00,1016.00
33098,16-03-25,Cash,Dine In (2),-,578.00,0.00,0.00,0.00,0.00,-,14.45,14.45,0.00,607.00,-,biller,,0.00,607.00
33099,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33100,16-03-25,Cash,TAKE AWAY,Parcel,140.00,0.00,0.00,0.00,0.00,-,3.50,3.50,0.00,147.00,-,biller,,0.00,147.00
33101,16-03-25,Cash,Dine In (9),-,669.00,0.00,0.00,0.00,0.00,-,16.73,16.73,0.00,702.00,-,biller,,0.00,702.00
33102,16-03-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33103,16-03-25,Online [Swiggy],Delivery,Swiggy,837.00,461.70,0.00,0.00,0.00,-,9.38,9.38,0.00,394.00,-,biller,,0.00,394.00
33104,16-03-25,Cash,Dine In (24),-,419.00,0.00,0.00,0.00,0.00,-,10.48,10.48,0.00,440.00,-,biller,,0.00,440.00
33105,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,140.00,0.00,0.00,0.00,-,3.48,3.48,0.00,146.00,-,biller,,0.00,146.00
33106,16-03-25,Cash,TAKE AWAY,Parcel,398.00,0.00,0.00,0.00,0.00,-,9.95,9.95,0.00,418.00,-,biller,,0.00,418.00
33107,16-03-25,Online [Swiggy],Delivery,Swiggy,558.00,280.00,0.00,0.00,0.00,-,6.95,6.95,0.00,292.00,-,biller,,0.00,292.00
33108,16-03-25,Online [Swiggy],Delivery,Swiggy,279.00,56.00,0.00,0.00,0.00,-,5.58,5.58,0.00,234.00,-,biller,,0.00,234.00
33109,17-03-25,Cash,Dine In (19),-,429.00,0.00,0.00,0.00,0.00,-,10.73,10.73,0.00,450.00,-,biller,,0.00,450.00
33110,17-03-25,Cash,Dine In (24),-,878.00,0.00,0.00,0.00,0.00,-,21.95,21.95,0.00,922.00,-,biller,,0.00,922.00
33111,17-03-25,Cash,Dine In (25),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33112,17-03-25,Cash,Dine In (3),-,788.00,0.00,0.00,0.00,0.00,-,19.70,19.70,0.00,827.00,-,biller,,0.00,827.00
33113,17-03-25,Cash,Dine In (22),-,587.00,0.00,0.00,0.00,0.00,-,14.68,14.68,0.00,616.00,-,biller,,0.00,616.00
33114,17-03-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33115,17-03-25,Cash,Dine In (20),-,518.00,0.00,0.00,0.00,0.00,-,12.95,12.95,0.00,544.00,-,biller,,0.00,544.00
33116,17-03-25,Online [Swiggy],Delivery,Swiggy,499.00,105.00,0.00,0.00,0.00,-,9.85,9.85,0.00,414.00,-,biller,,0.00,414.00
33117,17-03-25,Online [Swiggy],Delivery,Swiggy,449.00,87.50,0.00,0.00,0.00,-,9.04,9.04,0.00,380.00,-,biller,,0.00,380.00
33118,17-03-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33119,17-03-25,Cash,Dine In (20),-,429.00,0.00,0.00,0.00,0.00,-,10.73,10.73,0.00,450.00,-,biller,,0.00,450.00
33120,17-03-25,Cash,Dine In (23),-,1207.00,0.00,0.00,0.00,0.00,-,30.18,30.18,0.00,1267.00,-,biller,,0.00,1267.00
33121,17-03-25,Online [Swiggy],Delivery,Swiggy,429.00,87.50,0.00,0.00,0.00,-,8.54,8.54,0.00,359.00,-,biller,,0.00,359.00
33122,17-03-25,Cash,Dine In (2),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
33123,17-03-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
33124,17-03-25,Cash,Dine In (24),-,428.00,0.00,0.00,0.00,0.00,-,10.70,10.70,0.00,449.00,-,biller,,0.00,449.00
33125,17-03-25,Cash,Dine In (19),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33126,17-03-25,Online [Swiggy],Delivery,Swiggy,389.00,87.50,0.00,0.00,0.00,-,7.54,7.54,0.00,317.00,-,biller,,0.00,317.00
33127,18-03-25,Online [Swiggy],Delivery,Swiggy,399.00,87.50,0.00,0.00,0.00,-,7.79,7.79,0.00,327.00,-,biller,,0.00,327.00
33128,18-03-25,Cash,Dine In (19),-,229.00,0.00,0.00,0.00,0.00,-,5.73,5.73,0.00,240.00,-,biller,,0.00,240.00
33129,18-03-25,Cash,Dine In (20),-,1018.00,0.00,0.00,0.00,0.00,-,25.45,25.45,0.00,1069.00,-,biller,,0.00,1069.00
33130,18-03-25,Cash,Dine In (9),-,912.00,0.00,0.00,0.00,0.00,-,22.80,22.80,0.00,958.00,-,biller,,0.00,958.00
33131,18-03-25,Cash,Dine In (19),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
33132,18-03-25,Cash,Dine In (20),-,389.00,0.00,0.00,0.00,0.00,-,9.73,9.73,0.00,408.00,-,biller,,0.00,408.00
33133,18-03-25,Cash,TAKE AWAY,Parcel,269.00,0.00,0.00,0.00,0.00,-,6.73,6.73,0.00,282.00,-,biller,,0.00,282.00
33134,18-03-25,Cash,Dine In (23),-,598.00,0.00,0.00,0.00,0.00,-,14.95,14.95,0.00,628.00,-,biller,,0.00,628.00
33135,18-03-25,Cash,TAKE AWAY,Parcel,565.00,0.00,0.00,0.00,0.00,-,14.13,14.13,0.00,593.00,-,biller,,0.00,593.00
33136,18-03-25,Online [Swiggy],Delivery,Swiggy,1845.00,516.60,0.00,0.00,0.00,-,33.21,33.21,0.00,1395.00,-,biller,,0.00,1395.00
33137,18-03-25,Online [Swiggy],Delivery,Swiggy,349.00,87.50,0.00,0.00,0.00,-,6.54,6.54,0.00,-275.00,-,biller,14,0.00,275.00
33138,18-03-25,Cash,Dine In (24),-,856.00,0.00,0.00,0.00,0.00,-,21.40,21.40,0.00,899.00,-,biller,,0.00,899.00
